time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2019-07-04,282.8,304.0,280.1,301.79,100227.79,29459335.52,force_direct,
2019-07-05,288.0,294.9,280.0,282.8,106439.57,30656749.97,force_direct,
2019-07-06,287.57,298.25,285.31,288.0,67042.77,19598196.62,force_direct,
2019-07-07,306.34,310.7,283.87,287.57,124381.71,37493120.06,force_direct,
2019-07-08,313.24,315.0,302.24,306.34,107535.39,33187805.5,force_direct,
2019-07-09,307.92,318.6,302.78,313.24,127697.0,39746079.58,force_direct,
2019-07-10,288.64,314.98,281.3,307.92,188864.02,56103307.89,force_direct,
2019-07-11,268.68,288.68,261.57,288.64,220929.7,59983706.27,force_direct,
2019-07-12,275.55,279.3,266.37,268.68,87768.43,23997006.06,force_direct,
2019-07-13,269.04,276.34,261.79,275.55,82315.43,22100378.32,force_direct,
2019-07-14,225.76,270.02,222.7,269.04,233603.45,55979777.37,force_direct,
2019-07-15,228.28,235.87,203.0,225.76,396067.77,88141953.37,force_direct,
2019-07-16,198.89,234.58,190.11,228.28,405991.74,84584165.09,force_direct,
2019-07-17,211.4,221.0,192.04,198.89,264597.4,54597937.17,force_direct,
2019-07-18,226.31,229.99,206.2,211.4,227395.84,49933472.01,force_direct,
2019-07-19,221.21,226.78,213.15,226.31,118548.95,26079973.73,force_direct,
2019-07-20,228.89,236.58,219.98,221.21,108052.82,24762047.53,force_direct,
2019-07-21,225.64,229.85,217.04,228.89,91169.57,20383211.36,force_direct,
2019-07-22,217.13,228.28,211.45,225.64,110967.23,24214685.26,force_direct,
2019-07-23,211.93,219.11,208.43,217.13,120650.94,25746453.93,force_direct,
2019-07-24,216.59,218.14,200.5,211.93,162160.42,33802323.77,force_direct,
2019-07-25,219.28,226.22,215.19,216.59,104748.44,23178631.75,force_direct,
2019-07-26,219.35,222.12,212.69,219.28,75266.42,16336640.56,force_direct,
2019-07-27,207.11,224.14,202.46,219.35,130620.9,27525688.91,force_direct,
2019-07-28,211.5,213.98,197.0,207.11,81987.96,16927764.58,force_direct,
2019-07-29,210.73,215.31,205.7,211.5,93192.25,19626494.15,force_direct,
2019-07-30,209.83,214.56,204.0,210.73,55786.22,11684921.78,force_direct,
2019-07-31,218.7,218.92,209.53,209.83,65562.0,14103489.85,force_direct,
2019-08-01,217.55,219.3,211.0,218.7,63542.11,13660625.66,force_direct,
2019-08-02,217.8,222.77,214.82,217.55,76956.24,16806024.43,force_direct,
2019-08-03,222.14,224.81,215.5,217.8,72439.26,16071323.3,force_direct,
2019-08-04,222.81,224.04,217.37,222.14,42059.86,9281013.13,force_direct,
2019-08-05,233.0,236.9,222.81,222.81,122200.24,28229321.87,force_direct,
2019-08-06,225.81,239.45,222.05,233.0,116406.49,26757026.31,force_direct,
2019-08-07,225.8,231.22,220.0,225.81,90294.84,20334005.34,force_direct,
2019-08-08,220.81,226.48,213.7,225.8,102248.08,22605817.53,force_direct,
2019-08-09,210.3,221.3,206.5,220.81,86725.78,18428705.72,force_direct,
2019-08-10,206.1,214.68,200.38,210.3,78386.71,16203102.28,force_direct,
2019-08-11,216.06,216.58,205.63,206.1,53920.19,11420082.65,force_direct,
2019-08-12,211.26,216.47,209.51,216.06,63007.75,13409569.94,force_direct,
2019-08-13,208.58,211.28,202.8,211.26,84753.27,17584796.68,force_direct,
2019-08-14,186.3,209.13,181.6,208.58,179928.55,34735662.29,force_direct,
2019-08-15,188.2,191.47,171.0,186.3,175478.78,32214350.07,force_direct,
2019-08-16,185.26,188.21,178.47,188.2,68769.96,12662256.03,force_direct,
2019-08-17,185.59,186.9,181.57,185.26,38299.77,7061930.64,force_direct,
2019-08-18,194.74,198.17,183.31,185.59,66730.98,12844319.61,force_direct,
2019-08-19,202.32,203.91,193.0,194.74,66346.48,13217199.17,force_direct,
2019-08-20,196.56,202.81,194.52,202.32,62215.84,12312093.99,force_direct,
2019-08-21,187.37,197.17,180.0,196.56,105456.8,19795609.66,force_direct,
2019-08-22,190.41,195.11,182.53,187.37,77023.07,14576603.87,force_direct,
2019-08-23,194.59,196.66,188.56,190.41,85533.19,16495686.43,force_direct,
2019-08-24,190.89,194.59,186.02,194.59,43117.72,8188976.22,force_direct,
2019-08-25,186.59,192.76,182.04,190.89,42924.72,8043611.55,force_direct,
2019-08-26,188.3,194.28,185.51,186.59,69639.14,13198834.35,force_direct,
2019-08-27,186.94,189.0,184.33,188.3,42652.0,7957856.19,force_direct,
2019-08-28,172.79,187.92,165.9,186.94,115048.02,20190520.52,force_direct,
2019-08-29,168.82,173.51,163.57,172.79,94511.91,15967728.49,force_direct,
2019-08-30,168.4,170.43,165.3,168.82,60991.56,10273402.71,force_direct,
2019-08-31,171.93,175.0,165.5,168.4,38474.87,6520879.9,force_direct,
2019-09-01,171.29,173.98,168.03,171.93,41984.88,7195895.77,force_direct,
2019-09-02,178.8,181.78,170.54,171.29,60890.77,10713948.3,force_direct,
2019-09-03,178.96,183.15,174.2,178.8,76512.2,13740971.04,force_direct,
2019-09-04,174.82,180.33,173.29,178.96,58944.58,10418303.47,force_direct,
2019-09-05,174.0,175.82,168.82,174.82,54459.53,9420574.9,force_direct,
2019-09-06,169.2,178.45,164.99,174.0,79408.28,13671143.62,force_direct,
2019-09-07,178.08,181.07,168.38,169.2,59067.83,10382838.68,force_direct,
2019-09-08,181.56,184.73,176.01,178.08,74954.61,13590051.51,force_direct,
2019-09-09,180.63,186.0,176.11,181.56,65713.85,11882285.69,force_direct,
2019-09-10,179.64,184.55,176.6,180.63,46977.59,8468817.66,force_direct,
2019-09-11,178.3,182.49,173.7,179.64,59154.86,10520154.2,force_direct,
2019-09-12,181.09,182.66,176.46,178.3,32447.48,5814088.62,force_direct,
2019-09-13,181.65,181.85,177.57,181.09,51330.32,9234765.89,force_direct,
