time,open,high,low,close,volumefrom,volumeto,MA7,MA21,EMA,RSI,day_of_week,month
2019-07-26,9883.33,9898.03,9657.21,9843.0,10732.61,104928858.7,10144.881428571429,10788.366666666667,10509.724954469311,34.73818865125787,4,7
2019-07-27,9843.0,10248.41,9292.0,9479.98,18982.08,183269613.83,9961.874285714284,10704.66238095238,10411.654006424615,35.1151662918092,5,7
2019-07-28,9479.98,9669.11,9108.88,9533.0,10054.75,94866507.3,9810.774285714286,10612.21380952381,10327.972672479413,43.75097037597876,6,7
2019-07-29,9533.0,9729.87,9356.75,9495.01,10565.17,100638089.8,9692.434285714286,10478.950952380952,10248.64289414804,35.1768579902303,0,7
2019-07-30,9495.01,9839.83,9371.96,9589.01,9411.16,90120915.8,9656.56142857143,10336.94619047619,10185.82071375299,52.56000123158398,1,7
2019-07-31,9589.01,10135.12,9570.01,10087.3,12849.74,127392173.03,9701.518571428573,10241.200476190475,10176.437788633657,55.629724554002095,2,7
2019-08-01,10087.3,10497.0,9881.0,10405.94,14432.57,146637118.42,9776.177142857141,10196.292857142857,10198.295142097119,45.71717463527374,3,8
2019-08-02,10405.94,10670.0,10321.42,10533.01,13217.84,138486426.48,9874.75,10135.864761904762,10230.17274761168,49.911542867552534,4,8
2019-08-03,10533.01,10922.08,10500.0,10820.76,10082.36,108558480.64,10066.289999999999,10109.706666666667,10286.419152601044,51.02302973003524,5,8
2019-08-04,10820.76,11089.74,10572.0,10977.51,11813.67,128261789.71,10272.648571428572,10147.44380952381,10352.2373285438,56.65607824647501,6,8
2019-08-05,10977.51,11950.0,10977.51,11819.49,23345.2,271827290.04,10604.717142857144,10193.397142857142,10491.975678206296,71.49346619315244,0,8
2019-08-06,11819.49,12320.4,11187.0,11465.49,24773.05,290636159.0,10872.785714285714,10290.671904761906,10584.691327900935,74.25136298935568,1,8
2019-08-07,11465.49,12147.0,11366.26,11975.03,22145.49,260886518.92,11142.461428571429,10399.182380952381,10717.104534767514,79.03198167203166,2,8
