time,open,high,low,close,volumefrom,volumeto,MA7,MA21,EMA,RSI,day_of_week,month
2019-07-26,219.28,222.12,212.69,219.35,75266.42,16336640.56,219.82999999999998,246.07809523809524,237.60675572831204,30.79026524473612,4,7
2019-07-27,219.35,224.14,202.46,207.11,130620.9,27525688.91,216.71857142857144,242.24666666666667,234.70230280180613,29.629629629629633,5,7
2019-07-28,207.11,213.98,197.0,211.5,81987.96,16927764.58,214.69857142857146,237.7304761904762,232.4925596778246,43.696958981612454,6,7
2019-07-29,211.5,215.31,205.7,210.73,93192.25,19626494.15,213.78428571428572,232.8490476190476,230.4199349466032,42.12085839992815,0,7
2019-07-30,210.73,214.56,204.0,209.83,55786.22,11684921.78,213.4842857142857,228.17809523809527,228.45898876121242,56.599903474903506,1,7
2019-07-31,209.83,218.92,209.53,218.7,65562.0,14103489.85,213.78571428571428,224.84761904761905,227.52956126014456,54.60625946491671,2,7
2019-08-01,218.7,219.3,211.0,217.55,63542.11,13660625.66,213.53857142857143,222.41285714285715,226.5791268544165,43.31093463653023,3,8
2019-08-02,217.55,222.77,214.82,217.8,76956.24,16806024.43,213.3171428571429,219.66285714285715,225.74301953494827,47.18786079498597,4,8
2019-08-03,217.8,224.81,215.5,222.14,72439.26,16071323.3,215.46428571428572,217.4295238095238,225.39987481733417,44.10891953220456,5,8
2019-08-04,222.14,224.04,217.37,222.81,42059.86,9281013.13,217.07999999999998,217.28904761904764,225.15322007282614,47.41363553280936,6,8
2019-08-05,222.81,236.9,222.81,233.0,122200.24,28229321.87,220.26142857142855,217.51380952380953,225.9005324468427,64.07164390849445,0,8
2019-08-06,233.0,239.45,222.05,225.81,116406.49,26757026.31,222.5442857142857,218.7957142857143,225.89191030904817,61.887632750942124,1,8
2019-08-07,225.81,231.22,220.0,225.8,90294.84,20334005.34,223.55857142857144,219.48142857142855,225.88315694628167,58.570630932440004,2,8
2019-08-08,225.8,226.48,213.7,220.81,102248.08,22605817.53,224.02428571428572,219.21952380952385,225.3999991418739,51.36533999643048,3,8
2019-08-09,220.81,221.3,206.5,210.3,86725.78,18428705.72,222.9528571428571,218.7,223.96190398550496,43.19241763201444,4,8
2019-08-10,210.3,214.68,200.38,206.1,78386.71,16203102.28,220.6614285714286,217.6147619047619,222.26077027259973,49.135717953106266,5,8
2019-08-11,206.1,216.58,205.63,216.06,53920.19,11420082.65,219.69714285714286,217.15857142857143,221.67022072282833,53.562500000000014,6,8
2019-08-12,216.06,216.47,209.51,211.26,63007.75,13409569.94,216.5914285714286,216.8790476190476,220.678771130178,50.3895340291048,0,8
2019-08-13,211.26,211.28,202.8,208.58,84753.27,17584796.68,214.12999999999997,216.7195238095238,219.5265072130182,49.104712791863626,1,8
2019-08-14,208.58,209.13,181.6,186.3,179928.55,34735662.29,208.48714285714283,215.27714285714285,216.3620779546355,30.53352559480895,2,8
2019-08-15,186.3,191.47,171.0,188.2,175478.78,32214350.07,203.82857142857142,213.79714285714286,213.67997529228927,32.52352030487077,3,8
2019-08-16,188.2,188.21,178.47,185.26,68769.96,12662256.03,200.25142857142856,212.1738095238095,210.9733109787379,31.225478882990984,4,8
2019-08-17,185.26,186.9,181.57,185.59,38299.77,7061930.64,197.32142857142858,211.14904761904762,208.55585279028668,27.888687235329712,5,8
2019-08-18,185.59,198.17,183.31,194.74,66730.98,12844319.61,194.2757142857143,210.35095238095238,207.24005728644985,34.59892461318995,6,8
2019-08-19,194.74,203.91,193.0,202.32,66346.48,13217199.17,192.99857142857144,209.9504761904762,206.77148040202607,32.67058291911431,0,8
